,date,tweet,bot
0,2022-05-03 23:13:21+00:00,"Pairs:ETHUSDT 
 SELL:2782.76000
 Time :5/4/2022 2:12:28 AM
 Average Decision:47.54485 FifteenMinutes 
 Estimated Direction: DOWN
 #BTC #MOVRBUSD #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 2:12:57 AM",0
1,2022-05-03 22:43:51+00:00,"Pairs:ETHUSDT 
 BUY:2792.50000 
 Time :5/4/2022 1:43:02 AM
 Average Decision: 50.99525FifteenMinutes 
 Estimated Direction: UP
 #BTC #JASMYBUSD #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 1:43:25 AM",0
2,2022-05-03 20:59:56+00:00,"🚨🚨🚨🚨🚨[Volume alert ]  #Binance Futures $ETHUSDT: 6,058.760 $ETH traded at vwap: 2,775.849 in the last 10 seconds which is 17.73 stdevs from mean. Buys: 5,724.350 Sells: 334.410",0
3,2022-05-03 20:59:40+00:00,"🚨🚨🚨🚨🚨🚨🚨[Volume alert ]  #Bybit $ETHUSDT: 2,309.21 $ETH traded at vwap: 2,776.070 in the last 10 seconds which is 19.58 stdevs from mean. Buys: 2,143.57 Sells: 165.64",0
4,2022-05-03 19:39:31+00:00,"🚨🚨[Volume alert ]  #Bybit $ETHUSDT: 1,699.52 $ETH traded at vwap: 2,759.385 in the last 10 seconds which is 14.89 stdevs from mean. Buys: 278.73 Sells: 1,420.79",0
5,2022-05-03 19:35:57+00:00,"📉Binance Liquidated Long on ETHUSDT @ $2,748: Sell $363,767",0
6,2022-05-03 18:40:51+00:00,"🚨🚨[Volume alert ]  #Bybit $ETHUSDT: 1,301.60 $ETH traded at vwap: 2,772.248 in the last 10 seconds which is 14.22 stdevs from mean. Buys: 302.63 Sells: 998.97",0
7,2022-05-03 18:34:10+00:00,"I do not believe that Bitcoin will act instantly with the fed decision. I see this drop as the last pin before the bull market. I bought a large amount of bitcoins over 37.8k. I wish the best. 👌👍😊
#BTC #Bitcoin #ETHUSDT #BTCUSDT #Binance",0
8,2022-05-03 18:01:10+00:00,"[Volume alert ]  #Binance Futures $ETHUSDT: 4,159.602 $ETH traded at vwap: 2,793.220 in the last 10 seconds which is 12.27 stdevs from mean. Buys: 658.846 Sells: 3,500.756",0
9,2022-05-03 18:00:17+00:00,"🚨[Volume alert ]  #Binance Futures $ETHUSDT: 4,042.884 $ETH traded at vwap: 2,798.851 in the last 10 seconds which is 13.46 stdevs from mean. Buys: 1,135.294 Sells: 2,907.590",0
